     lambda = 1.361844 (  1.517395)  <log w>= 1601.998K  N(Ef)= 5.317137 at degauss=0.020
     lambda = 1.506512 (  1.653335)  <log w>= 1621.206K  N(Ef)= 5.852217 at degauss=0.040
     lambda = 1.440953 (  1.572520)  <log w>= 1634.756K  N(Ef)= 5.717574 at degauss=0.060
     lambda = 1.360908 (  1.480582)  <log w>= 1640.197K  N(Ef)= 5.474878 at degauss=0.080
     lambda = 1.298980 (  1.412316)  <log w>= 1645.268K  N(Ef)= 5.277176 at degauss=0.100
     lambda = 1.256294 (  1.367243)  <log w>= 1650.632K  N(Ef)= 5.146173 at degauss=0.120
     lambda = 1.231726 (  1.342173)  <log w>= 1657.194K  N(Ef)= 5.081744 at degauss=0.140
     lambda = 1.223944 (  1.334669)  <log w>= 1666.038K  N(Ef)= 5.079950 at degauss=0.160
     lambda = 1.229989 (  1.340767)  <log w>= 1676.528K  N(Ef)= 5.128988 at degauss=0.180
     lambda = 1.245678 (  1.355862)  <log w>= 1688.236K  N(Ef)= 5.212264 at degauss=0.200
     lambda = 1.266685 (  1.375689)  <log w>= 1700.074K  N(Ef)= 5.313651 at degauss=0.220
     lambda = 1.289782 (  1.396871)  <log w>= 1711.521K  N(Ef)= 5.420424 at degauss=0.240
     lambda = 1.312437 (  1.417358)  <log w>= 1722.272K  N(Ef)= 5.523794 at degauss=0.260
     lambda = 1.333221 (  1.435565)  <log w>= 1732.040K  N(Ef)= 5.618298 at degauss=0.280
     lambda = 1.351266 (  1.450995)  <log w>= 1740.990K  N(Ef)= 5.700924 at degauss=0.300
     lambda = 1.366165 (  1.463098)  <log w>= 1748.906K  N(Ef)= 5.770339 at degauss=0.320
     lambda = 1.377893 (  1.472137)  <log w>= 1756.142K  N(Ef)= 5.826301 at degauss=0.340
     lambda = 1.386351 (  1.477820)  <log w>= 1762.651K  N(Ef)= 5.869244 at degauss=0.360
     lambda = 1.391904 (  1.480883)  <log w>= 1768.556K  N(Ef)= 5.899990 at degauss=0.380
     lambda = 1.394765 (  1.481266)  <log w>= 1774.004K  N(Ef)= 5.919557 at degauss=0.400
     lambda = 1.395226 (  1.479377)  <log w>= 1778.893K  N(Ef)= 5.929038 at degauss=0.420
     lambda = 1.393417 (  1.475238)  <log w>= 1783.413K  N(Ef)= 5.929523 at degauss=0.440
     lambda = 1.389783 (  1.469478)  <log w>= 1787.682K  N(Ef)= 5.922056 at degauss=0.460
     lambda = 1.384372 (  1.462124)  <log w>= 1791.610K  N(Ef)= 5.907607 at degauss=0.480
     lambda = 1.377597 (  1.453358)  <log w>= 1795.204K  N(Ef)= 5.887068 at degauss=0.500
     lambda = 1.369544 (  1.443492)  <log w>= 1798.675K  N(Ef)= 5.861243 at degauss=0.520
     lambda = 1.360331 (  1.432504)  <log w>= 1801.794K  N(Ef)= 5.830854 at degauss=0.540
     lambda = 1.350271 (  1.420878)  <log w>= 1804.834K  N(Ef)= 5.796543 at degauss=0.560
     lambda = 1.339369 (  1.408400)  <log w>= 1807.708K  N(Ef)= 5.758883 at degauss=0.580
     lambda = 1.327830 (  1.395391)  <log w>= 1810.452K  N(Ef)= 5.718376 at degauss=0.600
lambda        omega_log          T_c
   1.36184      1601.998            149.547
   1.50651      1621.206            169.294
   1.44095      1634.756            162.756
   1.36091      1640.197            152.988
   1.29898      1645.268            145.011
   1.25629      1650.632            139.402
   1.23173      1657.194            136.351
   1.22394      1666.038            135.917
   1.22999      1676.528            137.682
   1.24568      1688.236            140.999
   1.26669      1700.074            145.121
   1.28978      1711.521            149.509
   1.31244      1722.272            153.756
   1.33322      1732.040            157.630
   1.35127      1740.990            161.025
   1.36617      1748.906            163.871
   1.37789      1756.142            166.203
   1.38635      1762.651            168.006
   1.39190      1768.556            169.347
   1.39477      1774.004            170.270
   1.39523      1778.893            170.803
   1.39342      1783.413            170.983
   1.38978      1787.682            170.879
   1.38437      1791.610            170.485
   1.37760      1795.204            169.857
   1.36954      1798.675            169.024
   1.36033      1801.794            167.977
   1.35027      1804.834            166.784
   1.33937      1807.708            165.434
   1.32783      1810.452            163.957
