# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.020    2.361062    2.180049  1512.034    6.905575
  0.040    2.294990    2.088996  1536.465    6.954215
  0.060    2.035220    1.894229  1547.379    6.236377
  0.080    1.830922    1.740670  1567.004    5.721078
  0.100    1.686722    1.629844  1588.162    5.398938
  0.120    1.589254    1.553018  1608.306    5.204025
  0.140    1.530515    1.507164  1627.209    5.108792
  0.160    1.502687    1.487335  1645.419    5.093980
  0.180    1.497284    1.486994  1662.967    5.137465
  0.200    1.506206    1.498446  1679.590    5.217636
  0.220    1.523277    1.516772  1695.186    5.316652
  0.240    1.544028    1.537896  1709.701    5.421360
  0.260    1.564925    1.558572  1722.775    5.522891
  0.280    1.584312    1.577330  1734.639    5.615768
  0.300    1.600948    1.593313  1745.168    5.696981
  0.320    1.614438    1.605937  1754.526    5.765204
  0.340    1.624565    1.615485  1763.029    5.820204
  0.360    1.631369    1.621672  1770.514    5.862413
  0.380    1.635107    1.624778  1777.324    5.892638
  0.400    1.636039    1.625198  1783.373    5.911877
  0.420    1.634308    1.623052  1788.864    5.921195
  0.440    1.630359    1.618966  1793.875    5.921655
  0.460    1.624348    1.612631  1798.394    5.914272
  0.480    1.616585    1.604631  1802.689    5.899991
  0.500    1.607131    1.595072  1806.501    5.879681
  0.520    1.596539    1.584421  1810.115    5.854128
  0.540    1.584750    1.572627  1813.463    5.824038
  0.560    1.571945    1.559848  1816.537    5.790043
  0.580    1.558392    1.546352  1819.581    5.752704
  0.600    1.544146    1.532363  1822.321    5.712517
